user_id,no_of_videos,no_of_hashtags,no_of_unique_hashtags
6804890842937443334,1,3,3
6820171986931008517,1,1,1
6810892895605376005,1,3,3
6603423061034500101,1,1,1
6790081948297036805,3,12,10
6635722863121448966,36,304,107
6812987563616355334,1,3,3
6811504059167572998,9,57,23
6820935414741697542,4,17,12
6609856040766226437,3,23,18
6698169938647385094,7,9,4
6811501100290573318,1,5,5
6729778878901371910,1,6,6
6807188371312755718,2,11,10
6819003395828237318,5,51,35
6798290775996335109,1,4,4
6546093502420516866,2,9,8
6812487226409780229,4,6,3
6671017620017545222,1,1,1
6777076978288002053,2,15,13
6741070252157420549,1,12,12
6837260163281323013,2,8,7
6825416808222000133,5,25,15
111432202151665664,5,5,1
6832084905418867718,1,2,2
6802965023578457093,1,1,1
53102278089412608,1,2,2
6807962624728171525,1,7,7
6824863002723468294,1,8,8
6805215739034420230,1,1,1
6613382877349265413,3,16,9
6806373987711648774,6,29,17
6682515059450889222,3,8,5
6777178047285036038,1,3,3
6587223839569182726,1,4,4
6629839492139532293,10,64,26
6610415375103115270,1,1,1
6558406529480851461,2,2,1
6785607086526137350,1,3,3
6815650735653504006,1,13,12
112172396953866240,2,8,5
6663069355952324614,1,3,3
6819829452240765957,7,12,3
6738447610812498949,1,1,1
6807593640421590021,1,1,1
6743758902334833669,1,1,1
6748070576408101893,4,13,10
6722559512832541702,1,4,4
6792902310135989254,2,2,1
15769008,1,2,2
6584413227190353926,1,1,1
6788988876133827589,1,11,11
6841722533243601925,5,41,16
6713373225474704390,1,1,1
6721873501919200261,8,43,16
6836093664579060741,1,11,10
315818508792078336,1,1,1
6832561502227055621,4,43,25
6653292883657441286,1,7,7
6706793721109464069,1,7,7
6660937168707944454,2,6,6
6612353442709454854,4,25,17
6738888856639652870,7,55,18
6557756281807962118,4,18,12
6783886492979168262,3,3,1
6797010859577148421,1,1,1
6779329516848792582,1,7,7
233983875859791872,1,3,3
102385642071801856,1,1,1
6658410780214804485,2,16,9
6737975554836562949,1,13,13
129134756675555328,1,7,7
261422574331576320,1,5,5
6787075208189903878,3,11,9
6715900400456188934,1,4,4
6765191672592303109,3,15,10
6837291599740060677,2,13,12
6596849578107387909,2,16,15
6786051046559351813,3,12,7
135005203744956416,5,9,3
6624685146279460869,3,10,6
6776755336378270726,1,7,7
6744378476050875397,2,12,12
6784883408829973510,2,9,8
6686536057787827205,1,7,7
6775195385260344325,2,16,15
6747120153799017478,1,4,4
6598243134386618373,1,1,1
6732473269456208902,1,6,6
6747768871799407621,5,19,10
6814875866423149574,2,13,10
6855550050035139590,1,2,2
6567168696762155013,3,9,7
6831778120791376902,1,1,1
6833098549468857349,2,2,1
6837177890875311110,1,1,1
6837831111621297158,1,4,4
6844139597384958981,1,1,1
6703538266120078342,3,3,2
6761145935810348037,6,35,13
6803887392023184390,1,10,10
6857310199922017286,1,7,7
6661056859782922245,1,2,2
6855360591113290757,1,7,7
228420500081958912,3,10,5
6532006729574531074,2,16,11
6718137631526274054,1,6,6
6829164114175706117,1,7,7
6769153357014746117,1,4,4
6757513259212342277,1,1,1
6755897274905510918,1,1,1
6791982650585940997,2,2,1
6694706906210862086,1,4,4
167208154366111744,1,13,13
6756007677766009861,1,6,6
6777482317587694598,1,7,7
6826818712159929349,1,2,2
6779422144473809925,1,1,1
6783514095386149894,1,2,2
6801579118078952453,1,1,1
6775682196557775877,2,6,4
6570383304176369670,1,1,1
6619449654471229445,1,5,5
6696577901237961733,8,56,25
6750310096562177030,4,17,9
6750793309301670917,3,14,9
6673184472530469893,1,3,3
191942508245979136,1,1,1
6831713014828352517,1,1,1
6811000040057897990,1,11,11
6826388379292042245,1,9,9
6711154172408857606,1,2,2
98667101103529984,7,37,14
6639121471678545925,1,1,1
6564472440659099653,1,1,1
6800308403970688005,1,1,1
6726973099835278341,1,8,8
6660272198803472390,6,11,3
6666599595986026502,2,9,7
6832371324196865030,3,20,15
6693532903814726662,1,1,1
6650584040754003974,1,1,1
7005678,1,2,2
6791417957882643462,2,12,9
273035097141108736,1,1,1
6744494024491959302,2,2,1
6629722626213117958,1,1,1
6813529120791118853,2,12,9
6857360171192009733,1,6,6
6650845947273003014,1,9,9
6662782950158991366,1,4,4
6733723902545265670,1,3,3
6826457640290485254,3,6,4
6563268466840076294,4,9,5
6588436998506790918,4,21,15
6585539428004708358,1,1,1
6766241499409810437,2,27,24
6570513048031936517,1,1,1
6633591698516606981,1,1,1
6799239951425209350,1,1,1
6798543107330147333,2,4,3
6822759572132217862,1,1,1
6831606161503552518,1,5,5
6639059403414863878,1,6,6
118313685596463104,3,39,23
6632669940452524038,3,16,10
6633109616900554758,1,13,12
6737792175079900165,1,1,1
6873053454933378053,1,8,8
6633848415544393734,2,8,6
6775792565926364165,1,2,2
6764030720329024517,1,5,5
6663767614009147397,4,10,7
15220837,2,19,14
6606248241250484230,1,1,1
6691602032342254597,1,1,1
13433103,1,1,1
6590811997801496582,1,1,1
6777834065171121157,1,3,3
232364399297273856,1,5,5
6815394841822168070,2,12,10
6819059557667881989,2,5,4
6801585988499407878,1,1,1
6682866050150925318,2,3,2
6754151298796651525,1,1,1
6815607966511956997,2,2,1
6777843046975767558,1,5,5
6741553505990083590,1,6,6
6836459424216253445,1,1,1
6531825801954857984,2,11,9
6799738900560479237,1,3,3
6654350622182309894,1,2,2
6791650792413545477,1,9,8
6762680925539107845,1,8,8
6774470791703593990,1,6,6
6788115166925849606,1,1,1
6517771092990366735,2,7,5
6566898790019973125,1,1,1
182754885463961600,1,9,9
6742549799721436166,3,10,9
6783481242140591109,2,2,1
6862568445013623813,2,9,8
6662515251555500038,5,58,39
6751834924933972998,2,8,5
6748877807164785670,2,10,7
6662054812861923333,3,30,26
6749201143433888774,1,9,9
6642782924486262790,1,1,1
6806412051139085317,1,6,5
6748266901316649989,1,1,1
6731169766280594438,1,1,1
6626727819026366469,1,1,1
6809726192103752710,1,2,2
61326496954404864,5,17,8
6794156813056590854,2,21,17
6583316861374676997,1,1,1
6674090665314518021,3,6,4
6856905300226704390,1,2,2
6763431871155192837,1,5,5
6798892452851041285,1,1,1
6776468392770536454,1,2,2
78018253909827584,1,7,7
6853793718375744518,1,7,7
6811202047376278533,1,5,5
6583384852280066053,4,13,10
6633939349863219206,3,8,4
6737798971317076997,1,1,1
6795543378760369158,4,35,10
6801117103728690181,1,6,6
6640172531985907718,2,20,18
6814349750658221061,1,1,1
6648459017708781574,1,7,7
6839082766454653957,1,6,6
6795729731293987845,1,1,1
301509094459297792,1,9,9
6735552254181508101,4,21,12
6860370943954174981,1,6,6
6630551509510995973,1,12,11
6568882539459854341,1,6,6
6556573644897714181,1,3,3
6587755974756352005,1,1,1
6776865849224709126,1,1,1
6682107738706789382,1,2,2
6834728290407482374,1,1,1
6773514675831342086,1,1,1
6518480320784765967,1,3,3
92182779269963776,1,5,5
165145415691071488,1,3,3
6858845174224782341,13,41,13
6774024963076408325,2,2,1
6590778139792982022,5,27,12
6664936908979077126,1,2,2
6670153111586193413,3,6,5
6847204543412618245,1,6,6
6855737973658108934,1,1,1
6822678071834346502,2,20,16
6860632258228208645,1,1,1
6574813046342385669,4,35,23
6697969064457454597,2,2,1
6569976505445941254,2,8,7
6762676180169655301,2,2,1
6644742754872803334,1,3,3
6593446223595421701,1,5,5
6783724832401130501,2,3,2
6766582890303882245,1,1,1
6584844019870990342,1,7,7
6630520491966103558,1,2,2
6839923551614223365,1,1,1
6718829698447803398,1,5,5
6630497524329316358,7,56,44
6832037066244244485,1,5,5
6631562887381565446,1,4,4
6685053372124808197,1,1,1
6678643332786603014,1,7,7
6731906692815455238,1,6,6
6686795987846333445,1,6,6
6775133881550390278,1,7,7
6599773985603436549,1,5,5
6595612702999183365,3,10,6
189680737816924161,1,7,7
6839177724243936262,1,1,1
6850290403795567621,1,3,3
6662098350952857606,1,5,5
6830926221696009222,2,2,1
6617716540014313477,2,3,2
6824536774544212997,1,1,1
6808283372504482822,1,1,1
6707978693946704901,1,5,5
6782307283197232134,1,1,1
6561106567340064774,1,1,1
6668085386109419526,2,3,2
4245524,1,4,4
6588089210115883013,1,1,1
6601673878879420421,1,1,1
247716319955955712,1,4,4
237395785242619904,1,2,2
6699421408236700678,1,6,6
6830056159149294598,1,6,6
68688437855342592,3,3,1
6620742708849917957,1,2,2
6757317925441324037,1,1,1
100446026011967488,1,1,1
6821961701761516550,1,6,6
6791673571087123461,1,1,1
6865078781137437702,1,1,1
6532358793195765770,1,4,4
6805354447457403910,2,2,1
6778793975438033926,1,1,1
6821116241278485509,1,1,1
6657245315307094021,1,1,1
6817110743625532422,1,1,1
9827005,1,1,1
6739171311207711749,1,1,1
273295445236391936,1,1,1
6797966053827068934,1,1,1
6824116954744407046,2,2,1
130934069579870208,1,1,1
6837353185096844294,1,6,6
6539153826874659855,1,1,1
6689837891067347973,1,1,1
6568590332707078149,1,4,4
6557673434221625349,2,6,3
6710431160050222086,1,2,2
6726282804218921989,1,8,8
6635750173124493318,1,1,1
6826084689770906630,1,3,3
6817283406935802885,1,12,12
6551160915209769984,1,1,1
6669721870730231814,5,5,2
6827902574978892806,1,9,9
6810532593223730182,1,3,3
6777398376775812101,1,1,1
6717449109483717637,1,2,2
80391101139820544,1,1,1
6701079730701304838,1,1,1
6698722471284392965,1,10,9
6622794875392786438,2,2,1
6624269615299330054,1,1,1
6761548825754551302,1,2,2
6774010899244057606,1,4,4
6594854657444413446,1,8,8
6851927098133005317,1,9,9
6823884600989877254,1,1,1
6841290323952665606,1,1,1
6816425599620776966,1,2,2
6843955940141286406,1,1,1
6818732614402442245,1,1,1
6620955071231803397,2,5,4
6837326980422796293,1,1,1
6766007083907007494,1,3,3
6835617710131741701,5,36,21
6607100402541707270,1,8,8
6833204029972317189,1,3,3
6619853261275987974,1,9,9
6623890650343866373,1,1,1
6821583801787089926,1,1,1
6804559560117208070,1,2,2
6801180305270703110,1,1,1
6748526610724815878,1,3,3
6816405717286339589,1,5,5
6813147715566158854,1,5,5
6806108102511232006,1,6,5
6813419200615482374,2,13,9
6818782902173074438,2,19,13
6611628742596919302,1,3,3
6704037226068345861,1,3,3
6801205575675069445,1,3,3
6804611339669128198,1,4,4
6785736551022593030,1,5,5
6843330848810451974,1,4,4
6827687242065855493,1,6,6
6809663620253074438,1,1,1
