user_id,hashtag,no_of_uses
6790081948297036805,duet,3
6635722863121448966,alligator,2
6635722863121448966,textreaction,4
6635722863121448966,blm,17
6635722863121448966,bluelivesmatter,7
6635722863121448966,thriftshop,2
6635722863121448966,black,2
6635722863121448966,redlivesmatter,2
6635722863121448966,trump,6
6635722863121448966,patichallenge,2
6635722863121448966,trumo2020,2
6635722863121448966,blackconservative,4
6635722863121448966,skatelife,2
6635722863121448966,alllivesmatterwhenblacklivesmatter,6
6635722863121448966,blackpeoplebelike,2
6635722863121448966,florida,2
6635722863121448966,duet,30
6635722863121448966,foryoupage,2
6635722863121448966,realityripple,22
6635722863121448966,whitepeople,2
6635722863121448966,police,3
6635722863121448966,fyp,13
6635722863121448966,whitepeoplebelike,6
6635722863121448966,maga,2
6635722863121448966,race,2
6635722863121448966,fy,4
6635722863121448966,trump2020,5
6635722863121448966,alllivesmatter,17
6635722863121448966,fypppppppppppppp,3
6635722863121448966,fypシ,2
6635722863121448966,okboomer,2
6635722863121448966,feelinggood,2
6635722863121448966,xyzbca,4
6635722863121448966,blacklivesmattermovement,6
6635722863121448966,whitelivesmatter,17
6635722863121448966,blacklivesmatter,22
6635722863121448966,blmprotest,2
6635722863121448966,oneloveoneheart,4
6811504059167572998,blacklivesmovement,2
6811504059167572998,brownlivesmatter,3
6811504059167572998,blm,2
6811504059167572998,gardenproject,2
6811504059167572998,foryou,6
6811504059167572998,blacklivesmatter,9
6811504059167572998,duet,7
6811504059167572998,foryoupage,8
6811504059167572998,alllivesmatter,4
6820935414741697542,foryou,2
6820935414741697542,blm,2
6820935414741697542,duet,2
6820935414741697542,fyp,3
6609856040766226437,duet,3
6609856040766226437,fyp,3
6609856040766226437,pnw,2
6698169938647385094,duet,6
6807188371312755718,blm,2
6819003395828237318,algorithm,2
6819003395828237318,tiktok,3
6819003395828237318,blm,4
6819003395828237318,beyourselfchallenge,2
6819003395828237318,allies,2
6819003395828237318,poc,2
6819003395828237318,xyzbca,2
6819003395828237318,skitzngigglez,2
6819003395828237318,duet,5
6819003395828237318,snoozzzapalooza,2
6546093502420516866,fyp,2
6812487226409780229,duet,4
6777076978288002053,foryoupage,2
6777076978288002053,fypシ,2
6837260163281323013,viral,2
6825416808222000133,blacklivesmatter,3
6825416808222000133,duet,5
6825416808222000133,blmmovement,2
6825416808222000133,foryoupage,2
6825416808222000133,fyp,3
111432202151665664,duet,5
6613382877349265413,blacklivesmatter,3
6613382877349265413,duet,3
6613382877349265413,viral,2
6613382877349265413,fyp,3
6806373987711648774,blm,3
6806373987711648774,duet,7
6806373987711648774,vile,2
6806373987711648774,rip,2
6806373987711648774,alllivesmatterwhenblacklivesmatter,2
6806373987711648774,disgusting,2
6682515059450889222,duet,4
6629839492139532293,algorithm,3
6629839492139532293,fyp,10
6629839492139532293,california,2
6629839492139532293,xyzbca,3
6629839492139532293,whitelivesmatter,3
6629839492139532293,foryou,3
6629839492139532293,blacklivesmatter,6
6629839492139532293,duet,8
6629839492139532293,florida,2
6629839492139532293,foryoupage,5
6629839492139532293,congress,2
6629839492139532293,alllivesmatter,3
6558406529480851461,duet,2
6815650735653504006,trend,2
112172396953866240,blm,2
112172396953866240,duet,2
112172396953866240,fyp,2
6819829452240765957,blacklivesmatter,4
