user_id,leaning,label,no_videos,leaning_avg,user_name,authorstats_following,authorstats_followers,authorstats_heart,authorstats_videos,authorstats_diggs,no_of_hashtags,no_of_unique_hashtags
73707,0.0,neutral,1,0.0,sharly_p,23.0,5990.0,720700,67.0,586.0,3,3
94772,3.0,pro,3,1.0,itsbriannaballard,24.0,50580.0,4700000,7.0,864.0,15,5
99896,0.5,pro,1,0.5,perris.howard,96.0,334800.0,7100000,198.0,1191.0,2,2
105232,0.5,pro,1,0.5,aarontoofresh26,28.0,480700.0,4200000,187.0,9939.0,6,6
117368,2.0,pro,2,1.0,troy..brown,1.0,12800.0,805000,29.0,6.0,4,2
119605,0.0,neutral,1,0.0,breister26,195.0,15030.0,1600000,21.0,6150.0,9,9
154547,0.5,pro,1,0.5,jlvisuals,3.0,230.0,2449,2.0,230.0,2,2
160848,1.0,pro,1,1.0,msexoticaa,591.0,122.0,2471,83.0,697.0,6,6
170217,0.0,neutral,1,0.0,keenanwalker,194.0,802.0,101300,46.0,192.0,2,2
183537,0.0,neutral,1,0.0,lovebri20,7.0,4740.0,692800,22.0,704.0,4,4
184640,9.5,pro,7,1.3571428571428572,latoya_official0,36.0,4060.0,318600,27.0,1140.0,44,9
186652,0.0,neutral,1,0.0,britt.jas,97.0,31.0,2140,6.0,771.0,5,5
187989,-1.0,con,2,-0.5,infamousnailah,153.0,825200.0,19100000,472.0,112300.0,3,3
191119,2.0,pro,1,2.0,ramoniabenitez,38.0,6163.0,28700,246.0,2344.0,8,8
193611,4.5,pro,3,1.5,nikkiramos,265.0,4960.0,653100,13.0,1560.0,19,15
219674,1.5,pro,1,1.5,brookesymone,56.0,23.0,948,12.0,308.0,5,5
272854,0.5,pro,1,0.5,arii,67.0,8900000.0,409700000,593.0,3446.0,2,2
277007,-0.5,con,1,-0.5,ashleyphillips2,11.0,11.0,963,3.0,16.0,1,1
296524,1.0,pro,1,1.0,courtney_lolo27,142.0,460.0,129700,66.0,3650.0,8,8
302124,0.5,pro,1,0.5,cashthiz,34.0,159.0,26700,4.0,625.0,7,7
326498,0.0,neutral,1,0.0,madisonmccloskey,19.0,220.0,9934,2.0,158.0,5,5
368065,0.0,neutral,1,0.0,lilshoeboxx,11.0,4820.0,1200000,20.0,979.0,4,4
370496,1.0,pro,1,1.0,brindzadavidson,8.0,30.0,1405,4.0,37.0,10,10
393076,0.0,neutral,4,0.0,jazminexrenee,205.0,3490.0,2000000,117.0,2070.0,20,16
464252,11.5,pro,7,1.6428571428571428,lorensharice,502.0,508800.0,9400000,261.0,12600.0,55,21
478938,0.5,pro,1,0.5,itsmsrichards2u,23.0,513.0,145500,30.0,45.0,9,9
492519,1.5,pro,1,1.5,lorenngracee,526.0,4405.0,203600,16.0,11500.0,3,3
501033,2.5,pro,1,2.5,kevinbojorquez,285.0,3200000.0,134600000,1508.0,1469.0,4,4
508850,2.0,pro,1,2.0,blessedhelen,765.0,50300.0,1400000,382.0,8667.0,4,4
513451,0.0,neutral,2,0.0,_iamkamm.m,311.0,1550.0,29700,56.0,1150.0,3,2
513515,0.0,neutral,1,0.0,luhhearl,7.0,587.0,40800,6.0,104.0,6,6
521424,2.0,pro,1,2.0,kyathatbahamiangirl,455.0,26000.0,860800,277.0,28400.0,3,3
534689,4.5,pro,3,1.5,kevinnherrera,263.0,57800.0,989400,221.0,10100.0,9,3
578007,0.0,neutral,1,0.0,alexxishb,27.0,9560.0,1500000,9.0,1810.0,4,4
578030,1.0,pro,1,1.0,pynklemmusic,214.0,3300000.0,27700000,334.0,13000.0,4,4
588190,2.0,pro,2,1.0,gabbygwop,1798.0,53300.0,1500000,479.0,31900.0,5,4
614539,0.0,neutral,1,0.0,danielparr2020,101.0,123.0,6654,43.0,649.0,4,4
625317,0.5,pro,1,0.5,hellokoddy,90.0,216800.0,13400000,309.0,8335.0,5,5
628310,0.0,neutral,1,0.0,thereal.rique,23.0,20130.0,6900000,74.0,751.0,1,1
679213,0.5,pro,1,0.5,mneymxtch,81.0,7380.0,2300000,24.0,6120.0,4,4
679995,1.0,pro,1,1.0,carlyunderwood,132.0,4110.0,570300,36.0,13380.0,6,6
682897,0.5,pro,1,0.5,ridenial,473.0,73400.0,880200,26.0,50800.0,3,3
695757,0.0,neutral,1,0.0,princessbananahammock5,568.0,193.0,27800,168.0,14150.0,1,1
711022,0.0,neutral,1,0.0,havenfutch,65.0,2210.0,140800,36.0,2910.0,6,6
715015,0.0,neutral,1,0.0,angnickelodeon,42.0,657.0,890000,32.0,5280.0,10,10
733251,0.5,pro,1,0.5,mckinleehunt,1269.0,12300.0,592700,95.0,87700.0,4,4
734683,1.0,pro,1,1.0,vibinwithni,9922.0,11600.0,299000,597.0,7129.0,9,9
743514,0.0,neutral,1,0.0,thatboyreece,99.0,4930.0,1100000,39.0,4610.0,1,1
764706,0.0,neutral,1,0.0,llexmh,24.0,3270.0,511200,5.0,648.0,4,4
793020,0.0,neutral,1,0.0,officer_scales,23.0,16610.0,1200000,13.0,53.0,5,5
814955,1.5,pro,1,1.5,famousquanny_,195.0,2063.0,32600,57.0,150.0,2,2
819157,0.0,neutral,1,0.0,bostonagapelove,12.0,772.0,64600,2.0,53.0,5,5
835519,0.0,neutral,1,0.0,wilsondias_off,23.0,869.0,408000,3.0,3870.0,4,4
845202,2.0,pro,1,2.0,mxmtoon,194.0,2300000.0,92100000,605.0,11000.0,3,3
848919,7.0,pro,2,3.5,celesteaguilar,42.0,11900.0,247300,9.0,32400.0,16,8
870485,0.0,neutral,1,0.0,faith_8312,14.0,191.0,21200,6.0,300.0,1,1
875733,0.0,neutral,1,0.0,ayo.itsdee,10.0,769.0,662100,57.0,1300.0,8,8
897075,1.5,pro,1,1.5,heyitskash_,3137.0,7712.0,64200,931.0,35400.0,3,3
916220,1.0,pro,1,1.0,sadiemillet,151.0,6601.0,294200,242.0,3253.0,4,4
920134,0.0,neutral,2,0.0,hatedrock_,65.0,3310.0,738900,40.0,756.0,4,4
921497,1.5,pro,1,1.5,.aaliyahh_,151.0,3375.0,25800,21.0,50800.0,5,5
925711,0.5,pro,1,0.5,evensjeanvillsain,41.0,26.0,1674,7.0,159.0,3,3
936655,0.5,pro,1,0.5,lizzza,99.0,24600000.0,274400000,128.0,3388.0,1,1
942475,0.0,neutral,1,0.0,kevinmclaughlin,55.0,180.0,19300,3.0,313.0,6,6
951727,-1.0,con,1,-1.0,d1ckfingies,391.0,4618.0,354100,1036.0,98700.0,1,1
964618,-0.5,con,1,-0.5,brenden2,279.0,262300.0,6500000,407.0,1665.0,5,5
