video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6847589178792807685,386.0,47.0,10.0,5220.0,3.0,3,1,0.0,neutral
6841218359292431621,51.0,7.0,2.0,531.0,3.0,1,1,0.0,neutral
6849535754964716805,47.0,1.0,3.0,244.0,3.0,3,1,1.0,pro
6850602455420488966,44.0,1.0,1.0,322.0,3.0,1,0,0.5,pro
6844638328000761093,42.0,4.0,1.0,264.0,3.0,5,1,0.5,pro
6849891938926120197,40.0,2.0,11.0,783.0,3.0,8,1,2.5,pro
6845628486472846598,34.0,4.0,1.0,320.0,3.0,3,1,0.5,pro
6849213767352438022,33.0,1.0,,141.0,3.0,6,1,1.0,pro
6844873452424269061,31.0,,,167.0,3.0,7,0,0.5,pro
6844767860431129861,26.0,2.0,,251.0,3.0,6,1,0.0,neutral
6850641755767950597,24.0,1.0,1.0,120.0,3.0,1,1,0.0,neutral
6850508457129397509,24.0,1.0,4.0,171.0,3.0,5,0,1.0,pro
6849481895953108230,23.0,2.0,1.0,229.0,3.0,6,0,0.0,neutral
6847586994244078853,22.0,2.0,1.0,129.0,3.0,5,0,0.5,pro
6850548373456571653,21.0,,,119.0,3.0,6,1,0.5,pro
6849325476956163334,20.0,1.0,1.0,92.0,3.0,4,0,0.5,pro
6851721502992125189,19.0,,1.0,160.0,3.0,4,0,0.5,pro
6849615672192847110,18.0,,2.0,190.0,3.0,3,1,0.5,pro
6849824062596795653,15.0,,,45.0,3.0,1,1,0.0,neutral
6844868425349614853,7.0,,,66.0,3.0,9,0,0.0,neutral
6849916555631938822,7.0,,1.0,39.0,3.0,12,1,0.5,pro
6849489030921407749,7.0,,,33.0,3.0,4,1,1.0,pro
6850278045362736389,6.0,,,28.0,3.0,6,1,0.5,pro
6850650212453715206,6.0,,,32.0,3.0,1,1,0.0,neutral
6844976441432591621,6.0,,,21.0,3.0,2,1,0.0,neutral
6850432462527499526,5.0,,,21.0,3.0,1,1,0.0,neutral
6849730427180043525,5.0,,,23.0,3.0,2,1,0.5,pro
6845646559758060805,5.0,,,53.0,3.0,7,0,0.0,neutral
6844899706041158918,4.0,,,38.0,3.0,8,1,0.5,pro
6850937309609741573,3.0,,,52.0,3.0,1,1,0.0,neutral
6849942496039013638,3.0,,,9.0,3.0,5,1,0.5,pro
6850760288778734854,2.0,,,23.0,3.0,6,1,0.5,pro
6850417329818373381,2.0,,,8.0,3.0,1,1,0.0,neutral
6839311887746878726,2.0,,,15.0,2.0,3,0,0.5,pro
6850608826727681285,1.0,,,12.0,3.0,4,0,0.5,pro
6849370744896474373,1.0,,,17.0,3.0,7,1,-0.5,con
6846541604442934534,1.0,,,17.0,3.0,1,1,0.0,neutral
6850074229853998342,1.0,,,12.0,3.0,1,1,0.0,neutral
6847627645182545157,1.0,,,22.0,1.0,3,0,0.5,pro
6846962949639212293,1.0,,,6.0,3.0,13,1,1.0,pro
6850059451072826630,1.0,,,9.0,3.0,4,1,0.5,pro
6844971348129844485,1.0,,,9.0,3.0,3,0,0.5,pro
6861807338874014981,,,,3.0,3.0,2,1,0.5,pro
6849031903295589638,,,,17.0,3.0,1,0,0.0,neutral
6847635417479646469,,,,16.0,3.0,1,1,0.0,neutral
6844846317458558214,,,,15.0,3.0,1,1,0.0,neutral
6850871514720390405,,,,12.0,3.0,4,1,-1.5,con
